date,cust_num,cust_name,item_id,amount,quantity,status,source,cust_parent_num,cust_parent_name,cust_segment,cust_channel,vividly_bucket,ppg,day_of_week,day_of_month,day_of_year,is_weekend,week_of_year,month_num,month_name,month_name_short,year,ship_month
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2264,386.1,4,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2260,99.0,1,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2232,171.1,3,closed,direct,1023,Shopify,Online,Online,Shopify,2.25S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1002,Amazon,1465,29.99,1,closed,direct,1002,Amazon,Online,Online,Amazon,1.34S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2267,168.0,6,closed,direct,1023,Shopify,Online,Online,Shopify,1.34S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1102,HY-VEE/LOMAR/SPECIALTY,1453,1190.4,32,closed,dot,236124,Hy-Vee,Grocery,Retail,dot_hyvee,2.25S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2242,218.3,4,closed,direct,1023,Shopify,Online,Online,Shopify,2.25S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2223,275.0,5,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1042,M R WILLIAMS,1463,68.0,5,closed,dot,126542,MR Williams,Convenience,Retail,dot_other,1.34S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1042,M R WILLIAMS,1464,40.8,3,closed,dot,126542,MR Williams,Convenience,Retail,dot_other,1.34S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1102,HY-VEE/LOMAR/SPECIALTY,1452,1190.4,32,closed,dot,236124,Hy-Vee,Grocery,Retail,dot_hyvee,2.25S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2261,89.1,1,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,0,1,1,0,1,1,January,Jan,2024,2024-01
2024-01-02,1002,Amazon,2211,674.5500000000003,45,closed,direct,1002,Amazon,Online,Online,Amazon,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1002,Amazon,2213,912.87,63,closed,direct,1002,Amazon,Online,Online,Amazon,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1002,Amazon,2271,61.98,2,closed,direct,1002,Amazon,Online,Online,Amazon,1.34S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1009,Target,1867,10980.0,305,closed,direct,1009,Target,Mass,Retail,Target,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1005,"Kehe Distributors, LLC",1462,272.0,20,closed,direct,132352,Kehe,Natural,Retail,Kehe,1.34S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1008,Costco Wholesale,1473,110016.0,60,closed,direct,1008,Costco,Club,Club,Costco,7.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1005,"Kehe Distributors, LLC",1472,2880.0,60,closed,direct,132352,Kehe,Natural,Retail,Kehe,1.34M,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2268,196.0,7,closed,direct,1023,Shopify,Online,Online,Shopify,1.34S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1005,"Kehe Distributors, LLC",2331,15960.0,280,closed,direct,132352,Kehe,Natural,Retail,Kehe,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1005,"Kehe Distributors, LLC",1460,7980.0,140,closed,direct,132352,Kehe,Natural,Retail,Kehe,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2217,404.85,15,closed,direct,1023,Shopify,Online,Online,Shopify,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1005,"Kehe Distributors, LLC",1456,3990.0,70,closed,direct,132352,Kehe,Natural,Retail,Kehe,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1002,Amazon,2224,1499.0000000000002,100,closed,direct,1002,Amazon,Online,Online,Amazon,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2277,28.0,1,closed,direct,1023,Shopify,Online,Online,Shopify,1.34S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2261,1138.5,12,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1015,Walmart,1459,6897.0,121,closed,direct,1015,Walmart,Mass,Retail,Walmart,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1015,Walmart,1457,5130.0,90,closed,direct,1015,Walmart,Mass,Retail,Walmart,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2220,53.98,2,closed,direct,1023,Shopify,Online,Online,Shopify,2.25S,1,2,2,0,1,1,January,Jan,2024,2024-01
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2266,663.3,7,closed,direct,1023,Shopify,Online,Online,Shopify,4.00S,1,2,2,0,1,1,January,Jan,2024,2024-01
